rank,lemma,original_sentence,final_sentence,original_english_sentence
27870,obtenerse,También puede obtenerse esta información a través de la documentación de la base.,También puede obtenerse esta información a través.,This information can also be obtained through the database documentation.
27881,fianzas,Especificaciones técnicas para la revisión anual de las fianzas de restauración de las actividades extractivas.,Las fianzas de restauración.,Technical specifications for the annual review of deposits for the restoration of extractive activities.
27888,presencias,La cultura del valle del indo artículo de blázquez en el sitio web presencias.,Sitio web presencias.,The culture of the valley of the Indo article of Blázquez on the website presences.
27889,remató,Nos remató la casa y por su culpa mi papá se terminó suicidando.,Nos remató la casa.,"He finished our house and because of him, my dad ended up killing himself."
27900,derrotaron,Debutó para el club américa el de febrero de donde derrotaron al puebla.,Donde derrotaron al puebla.,He debuted for the American club on February where they defeated the village.
27934,cumplirán,Las empresas del sector alimenticio cumplirán las normas de higiene enunciadas en el anexo.,Cumplirán las normas de higiene enunciadas.,Food businesses shall comply with the hygiene rules set out in the Annex.
27964,empleaba,El editor empleaba una fuente de caracteres por línea en la pantalla estándar del zx spectrum.,El editor empleaba una fuente de caracteres.,The editor used a character font per line on the standard display of the zx specrum.
28012,venenosos,Ingestión de agentes biológicos peligrosos contacto con la piel infecciones reacciones alérgicas efectos venenosos.,Alérgicas efectos venenosos.,Ingestion of dangerous biological agents skin contact infections allergic reactions poisonous effects.
28014,agrupar,Es el compromiso de los recursos de agrupar a tantos maquis a la vez.,Agrupar a tantos maquis.,It is the commitment of the resources to group together so many maquis at once.
28018,aportará,La prueba se aportará en el plazo de un mes a partir de dicha comunicación.,Prueba se aportará en el plazo.,The evidence shall be provided within one month of such communication.
28034,gobernando,Ese hombre ha estado gobernando mi vida de una manera u otra por mucho tiempo.,Gobernando mi vida de una manera.,That man has been ruling my life one way or another for a long time.
28070,asustadas,Es solo que estan lejos de casa por primera vez y estan asustadas.,Vez y estan asustadas.,It's just that they're away from home for the first time and they're scared.
28077,colocarla,Se le enseña a la persona a colocarla mano sobre el rostro de alguien.,Colocarla mano sobre el rostro.,The person is taught to place his hand on someone's face.
28080,dedicará,A formación básica a la que se dedicará entre un y un del tiempo del programa.,A formación básica a la que se dedicará entre un.,To basic training to be devoted between one and one of the time of the programme.
28095,volcánicas,Las manifestaciones de la energía interna de la tierra erupciones volcánicas y terremotos.,Las manifestaciones de la energía interna de la tierra erupciones volcánicas.,The manifestations of the earth's internal energy volcanic eruptions and earthquakes.
28101,comunicaron,Los resultados de las deliberaciones de la junta se comunicaron a la asamblea general.,Se comunicaron a la asamblea general.,The results of the deliberations of the Board were communicated to the General Assembly.
28109,exentos,No obstante los estados miembros estarán exentos del cumplimiento de este requisito en caso de que.,Exentos del cumplimiento de este requisito.,"Member States shall, however, be exempt from compliance with this requirement if so."
28118,justificaba,Se justificaba por el interés de la seguridad jurídica ya que no han sido ignoradas en este caso.,Se justificaba por el interés de la seguridad jurídica.,It was justified by the interest of legal certainty as they have not been ignored in this case.
28127,reclutando,En el informe se hace hincapié en que se siguen reclutando niños soldados.,Se siguen reclutando niños soldados.,The report emphasizes that child soldiers continue to be recruited.
28153,inalterable,Sin embargo el compromiso de china con la carta de las naciones unidas permanece inalterable.,Unidas permanece inalterable.,"However, China's commitment to the Charter of United Nations remains unalterable."
28179,diputaciones,Un representante de cada uno de los departamentos de agricultura de las diputaciones forales.,Las diputaciones forales.,One representative from each of the agricultural departments of the county councils.
28204,asentada,Espero que no sea un historia suave sino una asentada en la realidad.,Una asentada en la realidad.,I hope it's not a smooth story but a real one.
28211,despistar,Todo lo que tú tienes que hacer ahora es despistar a la policía.,Ahora es despistar a la policía.,All you have to do now is throw the police away.
28258,vicepresidentes,El presidente de la asamblea general cuenta con la ayuda de veintiún vicepresidentes.,De veintiún vicepresidentes.,The president of the general assembly is assisted by twenty-one vice-presidents.
28328,cualificación,El establecimiento de la delimitación y el contenido de los factores de cualificación.,El contenido de los factores de cualificación.,The establishment of the delimitation and content of qualification factors.
28334,gozado,Mira siempre me ha preocupado el caso a pesar de haber gozado del resultado.,Haber gozado del resultado.,"Look, I've always been worried about the case even though I've enjoyed the result."
28343,negocian,El nivel salarial en el sector automovilístico depende también de la importancia de los sindicatos que negocian los convenios.,Negocian los convenios.,The wage level in the automotive sector also depends on the importance of the trade unions negotiating the agreements.
28350,sedas,Sedas y satenes con arias y música presentamos lo nuevo lo grande lo animada.,Sedas y satenes con arias.,Silks and satins with arias and music present the new the great the animated.
28365,imparte,La formación teórica se imparte en la escuela durante quince horas dos días a la semana.,Teórica se imparte.,Theoretical training is given at school for 15 hours two days a week.
28375,atrapando,Y usted señorita donati continúe atrapando a lorenzo y da vinci con ese linda vagina tuya.,Y usted señorita donati continúe atrapando a lorenzo.,"And you, Miss Donati, keep catching loranzo and vinci with that pretty vagina of yours."
28382,contribuirá,El fortalecimiento del departamento de asuntos políticos contribuirá al fortalecimiento de la capacidad de prevención de conflictos.,Asuntos políticos contribuirá al fortalecimiento.,Strengthening the political affairs department will contribute to strengthening conflict prevention capacity.
28402,absorbiendo,Solo estoy en la ciudad por un par de días absorbiendo el sol.,Días absorbiendo el sol.,I'm only in town for a couple of days absorbing the sun.
28417,exagerados,En algunos casos son exagerados los informes sobre las violaciones de los derechos humanos en eeuu.,Exagerados los informes sobre las violaciones.,"In some cases, reports of human rights violations in eeuu are exaggerated."
28438,adoptará,La asamblea adoptará ahora una decisión sobre el proyecto de resolución a l.,La asamblea adoptará ahora una decisión.,The assembly will now take a decision on the draft resolution to l.
28463,tribunas,José antonio garcía hernández notas sobre la decoración de los órganos y tribunas del coro de la catedral de sevilla.,Tribunas del coro de la catedral de sevilla.,José antonio garcía hernández notes on the decoration of the organs and tribunes of the choir of the cathedral of Seville.
28466,apodado,El oso ejemplar apodado el oso y que da nombre a la población.,El oso ejemplar apodado el oso.,The exemplary bear nicknamed the bear and that gives name to the population.
28478,homicidas,Era tan insoportable que me mandaron a un programa para potenciales suicidas y homicidas.,Suicidas y homicidas.,It was so unbearable that I was sent to a program for suicidal and murderous potentials.
28502,cúbico,El tipo de la tarifa de utilización se fija en euros por metro cúbico.,Por metro cúbico.,The rate of the utilization fee is fixed in euros per cubic meter.
28510,individualista,El hombre es individualista egoísta tiene que hacer siempre lo que le apetece.,Hombre es individualista egoísta tiene.,Man is selfish individualist must always do what he wants.
28519,prepararla,Tengo que trabajar esta noche y todo el fin de semana para prepararla.,Tengo que trabajar y todo el fin de semana para prepararla.,I have to work tonight and all weekend to prepare it.
28524,supervisando,El presidente está supervisando la situación personalmente y los mantendremos informados sobre los acontecimientos.,El presidente está supervisando la situación personalmente.,The president is monitoring the situation personally and we will keep you informed of developments.
28527,acusadas,De las fueron acusadas de robo y asesinato y de incendio voluntario y saqueo.,De las fueron acusadas de robo.,They were charged with theft and murder and voluntary arson and looting.
28580,activan,Tengo faros y limpiaparabrisas automáticos se activan ellos solos cuando hay oscuridad o llueve respectivamente.,Tengo faros y limpiaparabrisas automáticos se activan ellos solos.,I have headlights and automatic windshield wipers activate themselves when there is darkness or rain respectively.
28617,incluirse,En el siguiente informe del secretario general debería incluirse información sobre esos acuerdos.,Debería incluirse información sobre esos acuerdos.,Information on such agreements should be included in the next report of the Secretary-General.
28639,ejecutaron,Has sido espectadora de tragedias desde el día en que ejecutaron a tu padre.,Ejecutaron a tu padre.,You've been a spectator of tragedies since the day your father was executed.
28661,gobernaba,El faraón gobernaba a los egipcios como el sarán gobierna a los filisteos.,El faraón gobernaba.,Pharaoh ruled the Egyptians as the Saran rules over the Philistines.
28665,insigne,Fuiste el hombre más insigne que jamás ha vivido en todos los tiempos.,Más insigne que jamás ha vivido.,You were the most remarkable man ever to have lived in all times.
28692,divisoria,Los niveles de riqueza medidos por el indicador de pib por habitante revelan una línea divisoria.,Una línea divisoria.,The wealth levels measured by the per capita pib indicator reveal a dividing line.
28695,formulaciones,Diseñar una colección de estampados y coloridos subsiguientes acompañada de las formulaciones y fichas técnicas correspondientes.,Coloridos subsiguientes acompañada de las formulaciones.,Design a collection of subsequent prints and colors accompanied by the corresponding formulations and technical sheets.
28742,bajadas,Las últimas semanas tenía el despacho con las persianas bajadas en pleno día.,Las persianas bajadas en pleno día.,The last few weeks I had the office with the blinds down in the middle of the day.
28770,abordan,Otras películas abordan directa o indirectamente el tema del acoso escolar sobre todo.,Otras películas abordan directa.,Other films directly or indirectly address the issue of bullying in schools.
28780,custodiado,Va a ser fuertemente custodiado pero hay que hacerlo de la forma que pueda.,Va a ser fuertemente custodiado.,"He's going to be heavily guarded, but you have to do it any way you can."
28784,disfrutaré,De hecho creo que sí que disfrutaré de los placeres de la carne.,Creo que sí que disfrutaré de los placeres de la carne.,"In fact, I think I will enjoy the pleasures of the flesh."
28794,loable,El libro verde de la comisión no llega en absoluto prematuramente y es muy loable.,Prematuramente y es loable.,The Commission's green paper does not arrive at all prematurely and is highly commendable.
28800,preámbulos,Hace tiempo que le doy vueltas a una idea y quiero ir sin preámbulos.,Quiero ir sin preámbulos.,I've been going around an idea for a while and I want to go without any preambles.
28808,valoró,Las suyas ya que nunca le gusté ni valoró mi aportación a esta expedición.,Valoró mi aportación a esta expedición.,Yours as I never liked or valued my contribution to this expedition.
28810,vivamente,La cuestión de la pena de muerte nos interesa vivamente en todas partes.,Nos interesa vivamente en todas partes.,The question of the death penalty is of great interest to us everywhere.
28816,armonizar,Medidas adoptadas para armonizar la legislación nacional con las disposiciones de la convención.,Armonizar la legislación nacional.,Measures taken to harmonize national legislation with the provisions of the Convention.
28820,contarse,Hablar de la unión europea debería contarse entre las obligaciones del servicio público.,Europea debería contarse entre las obligaciones.,Talking about European Union should be one of the obligations of public service.
28824,elevaron,Chipre se elevaron a millones de ellos millones en aportaciones de capital riesgo.,Chipre se elevaron a millones.,Cyprus amounted to millions of them millions in venture capital contributions.
28842,refugió,Tocó el alcohol ni nada de eso y desde ese momento se refugió en su trabajo.,Desde ese momento se refugió en su trabajo.,"He touched alcohol or anything, and from that moment he took refuge in his work."
28848,adjuntos,Los proyectos y presupuestos adjuntos a estas solicitudes deberán incorporar las oportunas indicaciones a tal efecto.,Presupuestos adjuntos a estas solicitudes deberán.,The drafts and budgets attached to these requests shall contain appropriate information to that effect.
28864,nocivo,Al menos una de las siguientes frases r nocivo para los organismos acuáticos.,R nocivo para los organismos acuáticos.,At least one of the following sentences is harmful to aquatic organisms.
28867,petulante,Es arrogante y petulante y cree que es la persona más hermosa del mundo.,Petulante y cree.,He's arrogant and smug and thinks he's the most beautiful person in the world.
28883,austriacos,Por la que se nombra a dos suplentes austriacos del comité de las regiones.,Dos suplentes austriacos del comité.,appointing two Austrian alternates to the Committee of the Regions.
28886,burda,Creo que puedo hacer una versión burda pero que sea igual de efectiva.,Creo que puedo hacer una versión burda.,I think I can make a rough version but it's just as effective.
28915,volátiles,Está basada en el porcentaje de materias volátiles y en el índice de inflación.,Está basada en el porcentaje de materias volátiles.,It is based on the percentage of volatile materials and the inflation rate.
28917,amarrar,Vamos a tener que amarrar a los niños a la puerta de la casa.,Tener que amarrar a los niños.,We're gonna have to tie the kids to the door of the house.
28938,referirme,Tengo el honor de referirme a mi carta de fecha de abril de s.,Referirme a mi carta de fecha.,I have the honour to refer to my letter of April.
28944,argumentan,Las partes interesadas argumentan que los cce son documentos que confían sieg a los productores.,Argumentan que los cce son documentos.,Interested parties argue that the CDCs are documents which they entrust to the producers.
28981,ensimismado,Por qué no tomas otra copa cielo y dejas de estar tan ensimismado.,Dejas de estar tan ensimismado.,Why don't you take another cup of heaven and stop being so self-absorbed.
28983,estipulado,El horario de atención al público queda estipulado de a de lunes a viernes.,Queda estipulado de a de lunes.,The hours of service to the public are stipulated from Monday to Friday.
28992,retiraba,Honda anunció el de diciembre de que se retiraba del mundial por crisis financiera.,Se retiraba del mundial por crisis financiera.,Honda announced December that he was retiring from the World Cup due to financial crisis.
29004,confrontaciones,Creo que en el fondo confiaba en que podían evitarse las grandes confrontaciones entre ejércitos.,Las grandes confrontaciones entre ejércitos.,I believe that deep down I was confident that the great confrontations between armies could be avoided.
29006,defectuosos,La comisión adopta un libro verde relativo a la responsabilidad productos defectuosos n.,Responsabilidad productos defectuosos n.,The Commission adopts a Green Paper on liability for defective products n.
29018,movilizado,También ha movilizado vastos recursos sociales para prestar asistencia a los niños necesitados.,También ha movilizado vastos recursos sociales.,It has also mobilized vast social resources to assist children in need.
29046,fraternidades,Mucha gente dice que las fraternidades son exclusivas y un sistema de clases.,Mucha gente dice que las fraternidades son exclusivas.,A lot of people say fraternities are exclusive and a class system.
29054,plantando,Yo creo que deberíamos celebrar plantando un árbol con nuestros hijos en vez de destruirlo.,Deberíamos celebrar plantando un árbol.,I think we should celebrate planting a tree with our children instead of destroying it.
29089,procuró,El representante de cuba procuró descartar acusaciones de actividades por motivos políticos dirigidas contra algunos estados miembros.,Cuba procuró descartar acusaciones de actividades.,The representative of Cuba sought to rule out politically motivated allegations of activities directed against some member states.
29106,caudillos,Algunos caudillos han constituido coaliciones para luchar contra el gobierno de transición nacional.,Algunos caudillos han constituido coaliciones.,Some warlords have formed coalitions to fight the national transitional government.
29111,convencerá,No me convencerá de que hace esto por nada cuál es su precio.,No me convencerá de que hace esto.,You won't convince me you're doing this for nothing what your price is.
29113,dañando,Fuertes lluvias han arrasado gaza recientemente dañando aun más la electricidad y las redes de agua y desagüe.,Fuertes lluvias han arrasado gaza recientemente dañando aun más la electricidad.,"Heavy rains have recently razed gaza, further damaging electricity and water and drainage networks."
29114,defensivos,Me gustaría enseñarle a todas las mujeres de esta ciudad unos buenos movimientos defensivos.,Buenos movimientos defensivos.,I'd like to show all the women in this city good defensive movements.
29129,procesiones,Se quita el sombrero saluda a la gente se une a las procesiones.,A las procesiones.,He takes off his hat. He greets people. He joins the processions.
29169,realizarlo,Para realizarlo se necesita una foto de alguien que murió con los ojos abiertos.,Para realizarlo se necesita una foto.,"To do this, you need a picture of someone who died with their eyes open."
29175,socioeconómica,El ministro pahad recalcó el deterioro de la situación socioeconómica en el país.,La situación socioeconómica en el país.,Minister Pahad stressed the deterioration of the socio-economic situation in the country.
29179,anglosajones,La fuga de cerebros a los países anglosajones a estados unidos en particular es sorprendente.,Los países anglosajones a estados unidos.,The brain drain to Anglo-Saxon countries to the United States in particular is surprising.
29218,efectuando,El consejo no lo puede consentir si realmente está efectuando una limpieza a fondo.,Está efectuando una limpieza a fondo.,The council cannot consent to it if it is actually doing a thorough cleaning.
29234,repulsa,Simplemente al despertarme esta mañana te he mirado y todo tú me repulsa.,Simplemente al despertarme te he mirado y todo tú me repulsa.,"Just when I woke up this morning, I looked at you and you all turned me down."
29303,desbordante,Eres tan desbordante y llena de vida más de lo que yo lo fuí.,Eres tan desbordante.,You're so overflowing and full of life more than I was.
29312,intoxicaciones,Manual de atención primaria de intoxicaciones ministerio de salud de la nación argentina.,Intoxicaciones ministerio de salud.,Manual of primary care of poisonings Ministry of Health of the Argentine nation.
29327,valoramos,Valoramos pues la importancia de los informes de situación elaborados por la comisión europea.,Valoramos pues la importancia.,We therefore appreciate the importance of the progress reports drawn up by the European Commission.
29333,ayacucho,Distrito de santa rosa de la provincia de la mar en el departamento de ayacucho.,Departamento de ayacucho.,Santa Rosa district of the province of the sea in the department of ayacucho.
29335,capillas,Existen también cerros propicios para el ciclismo numerosas galerías de arte museos y capillas.,Museos y capillas.,There are also hills suitable for cycling numerous art galleries museums and chapels.
29338,contaminante,Irlanda plan de desarrollo contaminación industrial contaminante lucha contra la contaminación política de medio ambiente.,Contaminante lucha contra la contaminación política.,Ireland development plan industrial pollution pollution pollution control environmental policy.
29372,ecuestre,Me han dicho que usted es el único guardia de la patrulla ecuestre.,La patrulla ecuestre.,I'm told you're the only guard on the equestrian patrol.
29375,estimamos,Estimamos que nuestra comprobación constituye una base razonable para la opinión de auditoría.,Estimamos que nuestra comprobación constituye una.,We believe that our audit provides a reasonable basis for the audit opinion.
29376,gaucho,El gaucho información en el sitio de la universidad de la república oriental del uruguay.,El gaucho información en el sitio.,The gaucho information on the site of the University of the Eastern Republic of Uruguay.
29378,ingente,El comité contra el terrorismo ya ha llevado a cabo una tarea ingente.,Una tarea ingente.,The counter-terrorism committee has already carried out an enormous task.
29379,instalamos,En menos de un año nos instalamos en dos pisos del time life building.,Año nos instalamos.,In less than a year we settled on two floors of the time life building.
29407,sofás,Lo llamo la experiencia nancy meyers porque cuando la prendes huele a sofás de color crema y a menopausia.,Sofás de color crema.,I call it the nancy meyers experience because when you light it smells like creamy sofas and menopause.
29435,obscenas,No me puedo creer que le dijeras que me gustan las rimas obscenas.,Las rimas obscenas.,I can't believe you told her I like obscene rhymes.
29438,repercute,El desarrollo de la agricultura repercute en el bienestar de todo el continente.,La agricultura repercute en el bienestar.,The development of agriculture has an impact on the well-being of the entire continent.
29448,alegan,Por consiguiente alegan que su regreso forzado violaría el artículo de la convención.,Alegan que su regreso forzado violaría el artículo de la convención.,They therefore claim that their forced return would violate the article of the convention.
29450,aplicarán,D en general las revisiones excepcionales solamente se aplicarán si se facilitan unas explicaciones satisfactorias.,Solamente se aplicarán.,"D in general, exceptional revisions will only apply if satisfactory explanations are provided."
29471,integristas,El horror con grupos terroristas integristas que multiplican los secuestros las violaciones los asesinatos.,Grupos terroristas integristas.,The horror with fundamentalist terrorist groups that multiply the kidnappings the rapes the murders.
29477,retratar,No me gusta la forma en que está tratando de retratar al zar.,Retratar al zar.,I don't like the way he's trying to portray the Tsar.
29486,aparcamientos,El plan especial a redactar deberá fijar el cumplimiento de la reserva de aparcamientos.,Reserva de aparcamientos.,The special plan to be drawn up should provide for compliance with the parking reservation.
29514,sintetiza,Es la escena que lo sintetiza todo es el resumen de la historia.,Lo sintetiza todo es el resumen.,It is the scene that synthesizes everything is the summary of the story.
29558,cardíacas,Lo mismo debe suceder en el campo de las enfermedades cardíacas y este es el momento.,Lo mismo debe suceder en el campo de las enfermedades cardíacas.,The same must happen in the field of heart disease and this is the time.
29573,fallaba,También hubo momentos donde el instinto de kinski no fallaba y notaba que se había pasado.,También hubo momentos donde el instinto de kinski no fallaba.,There were also times when the kinski instinct did not fail and noticed that it had passed.
29576,identificando,Utiliza la mecánica de elaboración de un formulario de comparación de ofertas identificando el contenido habitual de filas y columnas.,Ofertas identificando el contenido habitual de filas.,Use the mechanics of making a comparison form by identifying the usual content of rows and columns.
29582,ofrecidas,Facilidades de estudio y formación profesional ofrecidas a los habitantes de los territorios no autónomos.,Formación profesional ofrecidas a los habitantes de los territorios no autónomos.,Offers by inhabitants of Non-Self-Governing Territories of study and training facilities.
29595,transformaba,Mafsa acoplaba motores diésel barreiros o perkins y transformaba los camiones para su uso principalmente maderero.,Transformaba los camiones para su uso principalmente maderero.,Mafsa coupled diesel engines to sweepers or perkins and transformed trucks for mainly timber use.
29605,definiendo,Director java utiliza la clase extends para ir definiendo el monto de director.,Ir definiendo el monto de director.,Director java uses the extended class to define the amount of director.
29630,sacrificada,No hay necesidad de que su vida sea sacrificada por este gran logro.,Sea sacrificada por este gran logro.,There is no need for your life to be sacrificed for this great achievement.
29656,palme,No quiero seguir haciendo pizzas todos los días hasta que la palme de verdad.,La palme de verdad.,I don't want to keep making pizzas every day until I really pat her.
29661,recuperaba,Cuando te fuiste juré que no lo haría más si de esa forma te recuperaba.,Forma te recuperaba.,"When you left, I swore I wouldn't do it anymore if I got you back that way."
29665,secan,La mañana de la boda se bañan se limpian se secan y preparan hilos de colores.,La mañana de la boda se bañan se limpian se secan.,On the morning of the wedding they bathe they are cleaned dry and prepare colored threads.
29685,estructurar,Los resultados sirvieron para estructurar el examen y desarrollar otros resultados de la conferencia.,Los resultados sirvieron para estructurar el examen.,The results served to structure the review and develop other outcomes of the conference.
29687,fogatas,Solo vi las fogatas y escuché voces de otros chicos en la noche.,Solo vi las fogatas.,I only saw the bonfires and heard voices from other boys at night.
29704,cancilleres,México ha sido anfitrión de más de treinta altos dignatarios jefes de estado de gobierno y cancilleres.,Gobierno y cancilleres.,Mexico has hosted more than thirty high dignitaries heads of state and foreign ministers.
29712,orgullosas,Tu correras bajo un cielo azul junto a orgullosas colinas altas con el mar chocando dentro de ellas.,Orgullosas colinas altas.,You will run under a blue sky next to proud high hills with the sea colliding inside them.
29725,arcaico,No crees que el título de directora de enfermería es una poco arcaico.,Una poco arcaico.,You don't think the nursing director's degree is a little archaic.
29747,permanecemos,Nosotros buscadores de conocimiento permanecemos ignotos para nosotros mismos por una buena razón.,Conocimiento permanecemos ignotos para nosotros mismos.,We seekers of knowledge remain ignorant to ourselves for a good reason.
29781,pardos,Vencejos pardos pasan la noche en las rocas empapadas de rocío al lado de las cascadas.,Vencejos pardos pasan la noche.,Brown charms spend the night in the dew-soaked rocks next to the waterfalls.
29787,traductores,En el artículo se establecen las condiciones para la participación de los intérpretes o traductores.,Intérpretes o traductores.,The article sets out the conditions for the participation of interpreters or translators.
29822,tardaba,Lo de la puerta se tardaba demasiado pero me preocupaba algo más importante.,Lo de la puerta se tardaba demasiado.,"The door took too long, but I was worried about something more important."
29823,viciosa,Bueno sabía que estaba mal de la cabeza pero no sabía que fuera tan viciosa.,No sabía que fuera tan viciosa.,"Well, I knew I was out of my mind, but I didn't know I was so vicious."
29840,nombran,Sólo por insuficiencia de estos se nombran para ejercerla funcionarios que no tengan destino definitivo.,Estos se nombran para ejercerla funcionarios.,Only because of their inadequacy are they appointed to serve in the service of officials who are not permanently assigned.
29842,prescrito,Se te ha prescrito una droga que es sabido que tiene algunos efectos secundarios psiquiátricos moderados.,Prescrito una droga que es sabido.,You have been prescribed a drug that is known to have some moderate psychiatric side effects.
29859,declinación,La declinación se observó en la mayoría de los países de la subregión.,La declinación se observó en la mayoría.,The decline was observed in most countries of the subregion.
29874,párpado,Este doble párpado ya he tenido que volver a hacer la cirugía dos veces.,Este doble párpado ya he tenido.,This double eyelid I've already had to do the surgery twice.
29885,aduciendo,El autor recurrió de su condena a muerte ante el tribunal supremo aduciendo confusión de personas.,Tribunal supremo aduciendo confusión de personas.,The author appealed his death sentence to the Supreme Court on the grounds of confusion of persons.
29890,chupan,Ustedes son como unos vampiros que se chupan la sangre de este departamento.,Se chupan la sangre de este departamento.,You guys are like vampires sucking the blood out of this department.
29908,reirá,Nadie se reirá de tí vas a sacar buenas notas en la escuela.,Nadie se reirá de tí vas.,No one's gonna laugh at you. You're gonna get good grades at school.
29938,paraísos,Esas cartas de compromiso con frecuencia incluían comentarios adicionales de los respectivos paraísos fiscales.,Los respectivos paraísos fiscales.,These letters of commitment often included additional comments from the respective tax havens.
29940,pergaminos,El deseo de muerte de mi padre estaba en uno de sus pergaminos.,De sus pergaminos.,My father's death wish was on one of his scrolls.
29941,preponderante,En la india los gurús tienen un rol preponderante en la vida social.,Rol preponderante en la vida social.,"In India, gurus have a leading role in social life."
29968,hacendado,El un joven hacendado y ella no más que una criatura de la naturaleza.,El un joven hacendado.,He a young farmer and she no more than a creature of nature.
29969,icónico,En la orilla oeste del río nilo está el conjunto de pirámides más icónico del mundo.,Pirámides más icónico del mundo.,On the west bank of the Nile River is the most iconic set of pyramids in the world.
29970,interrumpieron,Todos los países del mundo interrumpieron las relaciones con el régimen del apartheid.,Del mundo interrumpieron las relaciones.,All countries of the world interrupted relations with the apartheid regime.
29992,categórico,El derecho internacional relativo a los derechos humanos es sin embargo categórico en este aspecto.,Embargo categórico en este aspecto.,International human rights law is nevertheless categorical in this regard.
30000,disparatada,Este pueblo es una especie de disparatada usted sabe lo que quiero decir.,Disparatada usted sabe lo.,"This town is kind of crazy, you know what I mean."
30011,paseó,Calzada vallejo desde av a hasta insurgentes norte circuito interior av paseó de las jacarandas.,Interior av paseó de las jacarandas.,Vallejo road from av to insurgents north inner circuit av walked from the jacarandas.
30022,suspensiones,Mientras no entre en vigor el tratado las suspensiones de los ensayos nucleares deberán mantenerse.,Tratado las suspensiones.,"Pending the entry into force of the treaty, suspensions of nuclear tests should be maintained."
30046,entrevistaron,Además se entrevistaron con representantes de organismos no gubernamentales y visitaron el reclusorio norte.,Se entrevistaron con representantes de organismos no gubernamentales.,They also met with representatives of non-governmental agencies and visited the northern prison.
30052,instrumentales,Lectura e interpretación de canciones y piezas instrumentales en grado creciente de dificultad.,Piezas instrumentales en grado creciente de dificultad.,Reading and interpreting songs and instrumental pieces in increasing degree of difficulty.
30067,atropellos,Y en estos dos últimos videos se puede ver diferentes incidentes de atropellos.,Incidentes de atropellos.,And in these last two videos you can see different incidents of abuse.
30079,granate,Fue un éxito en internet y convirtió a rojo granate en un chiste.,Convirtió a rojo granate en un chiste.,It was a success online and turned red garnet into a joke.
30100,abusiva,Prohibición de los acuerdos y de la explotación abusiva de una posición dominante.,De la explotación abusiva de una posición dominante.,Prohibition of agreements and abuse of a dominant position.
30102,alquilan,Me habló de madres que alquilan el vientre de donantes de esperma etc.,Madres que alquilan el vientre de donantes.,He told me about mothers who rent the belly of sperm donors etc.
30103,analizará,I i el apartado de la sección quinta analizará las dificultades particulares de este grupo.,Sección quinta analizará las dificultades particulares.,I i the fifth section will analyse the particular difficulties of this group.
30110,confirmaba,Del mismo modo el crédito al sector privado continuó expandiéndose con rapidez lo que confirmaba que la liquidez era abundante.,Confirmaba que la liquidez era abundante.,"Similarly, credit to the private sector continued to expand rapidly, confirming that liquidity was abundant."
30118,ingresando,Manies ingresando por el intestino y el higado con servicio directo al colon.,Manies ingresando por el intestino.,Manies entering through the intestine and liver with direct service to the colon.
30122,reflejando,La composición de la mesa deberá seguir reflejando la estructura tripartita del consejo.,Reflejando la estructura tripartita del consejo.,The composition of the bureau should continue to reflect the tripartite structure of the council.
30136,conflictivas,Este importe va destinado a la creación de empleo en las zonas conflictivas.,Las zonas conflictivas.,This amount is intended for job creation in conflict areas.
30140,diestros,Vuestros hombres son más diestros que los míos en el arte de la guerra.,Son más diestros que los míos.,Your men are more skillful than mine in the art of war.
30157,combatió,He aquí a un hombre que combatió por el orden de la sociedad.,Combatió por el orden.,Here is a man who fought for the order of society.
30169,piñones,No has dicho que eres alérgico a los piñones y a las abejas.,No has dicho que eres alérgico a los piñones.,You didn't say you're allergic to pine nuts and bees.
30172,reforzando,Hay otra buena noticia y es que el tribual reconoce que estamos reforzando nuestros sistemas de supervisión.,Es que el tribual reconoce que estamos reforzando nuestros sistemas de supervisión.,"There is another good news, and the tribal recognizes that we are strengthening our monitoring systems."
30189,experimentaba,Fue creada por diego ramos cuando era joven y experimentaba con varias salsas.,Experimentaba con varias salsas.,It was created by diego bouquets when I was young and experimented with various sauces.
30205,soplan,Es que cuando no soplan buenos vientos todos los capitanes se ponen de mal humor.,No soplan buenos vientos todos los.,"It's just that when good winds don't blow, all the captains get in a bad mood."
30216,cortezas,El enamorado candido grabó el nombre de cunegunda en las cortezas de los árboles.,Las cortezas de los árboles.,"The candid lover recorded the name ""cunegunda"" in the barks of the trees."
30225,fundida,D reglamento cee n de de diciembre de do l de mantequilla fundida.,De mantequilla fundida.,D Council Regulation (EEC) No 1408/71 on the common organization of the market in milk and milk products.
30239,acumuló,Y mientras ella seguía a jonny por toda la ciudad la srta locura acumuló más de en multas.,Locura acumuló más de en multas.,"And as she followed Jonny all over town, Miss Madness accumulated more than fines."
30244,cansar,Así que si tratas de ir con ellas ola a ola te vas a cansar mucho con todo ese braceo.,Cansar mucho con todo ese braceo.,So if you try to go with them wave to wave you'll get very tired with all that bracing.
30261,sudafricano,Uno de los que recibió dicho premio es el dirigente sudafricano nelson mandela.,El dirigente sudafricano nelson mandela.,One of those who received the award is the South African leader nelson mandela.
30265,asignan,También se asignan otras modalidades de ayuda con independencia de los ingresos de la familia.,También se asignan otras modalidades de ayuda.,Other forms of support are also allocated regardless of family income.
