rank,sentence,english_sentence
30871,Aplicación inoportuna del sistema de evaluación del desempeño y falta de un plan de capacitación.,Untimely implementation of the performance appraisal system and lack of a training plan.
30872,A la gente le gusta la palabra intuitiva.,People like the word intuitive.
30873,Es un libro de invocación de muñecos.,It's a book of invocation of dolls.
30874,Tenemos el lenguado y el pulpo de oferta.,We have sole and octopus on offer.
30875,Ada dejo una carta para ser leída después de su muerte.,Ada left a letter to be read after his death.
30876,Ella es olga y yo soy madariaga.,She's an olga and I'm a mariaga.
30877,Va a marciana a esta hora.,He's going to Martian at this hour.
30878,Creo que es una forma de narcisismo.,I think it's a form of narcissism.
30879,Tu doctor dijo que son tus delirios paranoicos.,Your doctor said they're your paranoid delusions.
30880,No has estado tan callada desde que te quedaste pelada.,You haven't been so quiet since you got skinned.
30881,Está casado así que es estrictamente para procrear.,"He's married, so he's strictly procreated."
30882,Sabes que lo hice a regañadientes.,You know I did it reluctantly.
30883,No a tu abuelo no le gusta schumann.,Your grandfather doesn't like schumann.
30884,Él es walter sims el gerente del banco.,This is walter sims the bank manager.
30885,Su planeta puede sustentar ia vida humana.,Your planet can sustain human life.
30886,No creo que las tenazas tengan salsa.,I don't think the tongs have any sauce.
30887,Él es la razón por la que tintineo vendrá.,He's the reason I tingle will come.
30888,Es como si estuviera trabado en una frecuencia.,It's like I'm stuck on a frequency.
30889,Además de algunos graves fuertes traumatismos en el abdomen.,In addition to some severe trauma to the abdomen.
30890,Gonzalo valderrama considerado el padre de la comedia en vivo en colombia.,Gonzalo valderrama considered the father of live comedy in Colombia.
30891,Ella permite a las criaturas de los abismos escapar al mundo.,She allows the creatures of the abysses to escape into the world.
30892,A camaná a contestar lacónicamente el transfigurado diciendo para sus adentros un curioso majadero.,A camana to answer laconically the transfigured saying to his insides a curious majadero.
30893,Luego la luna de miel el ajuar.,Then the honeymoon the trousseau.
30894,Dijo que te liberó del trato con los armenios.,He said he freed you from the deal with the Armenians.
30895,Creo en lo que buscáis.,I believe in what you seek.
30896,La vida es un camino cicerón.,Life is a cicero road.
30897,El día anterior que era una puta desagradecida.,The day before she was an ungrateful whore.
30898,Es que no veo como puede decir que los desmayos fueron buenos.,I just don't see how you can say that fainting was good.
30899,Solo tiene que trabajar en algunos desperfectos.,He just has to work on some malfunctions.
30900,No te tomas el tiempo de enterrarla.,You don't take the time to bury her.
30901,El problema es que no existe ninguna actividad estructurada.,The problem is that there is no structured activity.
30902,Es dia de fetos de cerdo.,It's pig fetus day.
30903,Me preocupa la clase de jóvenes que ella frecuenta.,I'm worried about the kind of young people she frequents.
30904,Qué tal una galletita con trozos de chocolate.,How about a cookie with chunks of chocolate.
30905,Davey nos hundirá a los dos.,Davey's gonna sink us both.
30906,Mi madre me dio este campo cuando me casé con mila.,My mother gave me this field when I married my own.
30907,No tiene nada que ver con el misticismo judío.,It has nothing to do with Jewish mysticism.
30908,Las damas son modestas y prudentes.,Ladies are modest and prudent.
30909,Más de lo que puedes tomar muchachote.,"More than you can take, big guy."
30910,Son nativas de la región oriental de brasil.,They are native to the eastern region of Brazil.
30911,Damas y caballeros sois neoyorquinos.,"Ladies and gentlemen, you are New Yorkers."
30912,El próximo año se prestará una atención sustancial a la preparación de esa revisión.,Substantial attention will be given next year to the preparation of such a review.
30913,Está trabajando en la investigación de carlos ramirez.,He's working on the carlos ramirez investigation.
30914,Sebastián lerdo de tejada presidente de la república mexicana.,Sebastian Lardo de tejada president of the Mexican Republic.
30915,Estabas a punto de reconstruir el ventrículo.,You were about to rebuild the ventricle.
30916,No no estoy gritando estoy aclarando mi punto de vista.,I'm not yelling. I'm clarifying my point of view.
30917,En el anfiteatro en cinco.,In the amphitheater in five.
30918,Los sistemas de formación de animadores de juventud en los estados miembros.,Training systems for youth animators in the Member States.
30919,Los acuerdos se aplicaron por primera vez a las ventas.,The agreements were applied for the first time to sales.
30920,El fuego ardió toda la noche.,The fire burned all night.
30921,Les dije que si no me ayudaban yo.,I told them if they didn't help me.
30922,O los calvos a no ser que te gusten.,Or bald people unless you like them.
30923,Chacho brodas los impresentables en la canción viene la policía.,Brocho brodas the unpresentables in the song come the police.
30924,Los equipos concentraron el de las inversiones de la unión.,The teams concentrated on the union's investments.
30925,Fue a la iglesia a confesarse.,He went to church to confess.
30926,La dignidad de las relaciones conyugales.,The dignity of marital relationships.
30927,El siguiente fragmento es del capítulo de la novela rayuela de julio cortázar.,The next fragment is from the chapter of the July novel rayuela cortázar.
30928,En el otro lado los cuidarán.,On the other side they'll take care of them.
30929,No tenía intención de enfadarte.,I didn't mean to upset you.
30930,Los gastos de transporte de mobiliario y enseres.,The costs of transporting furniture and goods.
30931,Un trato justo y equitativo de los derechos de propiedad intelectual.,Fair and equitable treatment of intellectual property rights.
30932,Informarse de los trámites que hay que realizar para presentar una solicitud de ayuda.,Please provide information on the procedures to be followed to submit an application for assistance.
30933,Lo llamaban el lanzallamas pero no era tan malo.,"They called it the flamethrower, but it wasn't that bad."
30934,Por eso no han enviado una nave maquis.,That's why they haven't sent a maquis ship.
30935,Usted no lo ve la grúa es martillos neumáticos no significa pesado.,You don't see it the crane is pneumatic hammers doesn't mean heavy.
30936,El objetivo de la salida es maximizar el empuje.,The aim of the output is to maximize the thrust.
30937,Sólo tenía que meterlos en la bolsa.,I just had to put them in the bag.
30938,Es como si las morenas me hicieran ganar dinero.,It's like brunettes make me money.
30939,Tienes a un tipo en un traje de morsa.,You got a guy in a walrus suit.
30940,Es el mejor motorista de la zona.,He's the best biker in the area.
30941,La última vez que me enfrenté a vosotros me oculté.,"The last time I confronted you, I hid myself."
30942,Dime que no nos pedirás que nos vayamos.,Tell me you won't ask us to leave.
30943,Es ridículamente importante para mí para superar este reto.,It's ridiculously important to me to overcome this challenge.
30944,Creo que te faltó un rizo aquí.,I think you missed a curl here.
30945,Una de las cosas que sucedían en el bar.,One of the things that happened at the bar.
30946,La terquedad no tiene nada que ver con eso.,stubbornness has nothing to do with it.
30947,Voy a necesitar algo más fuerte que toallitas de bebé.,I'm gonna need something stronger than baby wipes.
30948,Sabes de lo que hablas ustedes estarán varados en esa isla.,"You know what you're talking about, you'll be stranded on that island."
30949,Ahora todos viajaremos hacia el otro lado.,Now we'll all travel the other way.
30950,La junta de gobierno podrá nombrar a un vicesecretario.,The Governing Board may appoint a Deputy Secretary.
30951,El resultado de la negociación deberá acomodarse a ellos.,The outcome of the negotiation shall be in accordance with them.
30952,Creo que hay una alberca en tu habitación hermano.,"I think there's a pool in your bedroom, brother."
30953,Mi anabel es dorada como la luz de la luna.,My anabel is golden as the moonlight.
30954,La forma característica de los anfibios.,The characteristic form of amphibians.
30955,Por qué no los arresta sheriff.,"Why don't you arrest them, Sheriff."
30956,Lo siento pero las circunstancias atenuantes de este caso son.,"I'm sorry, but the extenuating circumstances of this case are."
30957,Es decir espera hasta que se quedan dormidas usa una llave maestra en la puerta trasera.,"I mean wait until they fall asleep, he uses a master key on the back door."
30958,C que no sean empleadores del sector público.,C other than public sector employers.
30959,Enséñanos la mejor pieza de la casa.,Show us the best piece of the house.
30960,Es la epopeya de crane.,It's the crane epic.
30961,No te tuve en mi escuadrilla de guerra antes.,I didn't have you in my war squad before.
30962,Espinoso compludo c p en la provincia de león.,Espinoso compludo c p in the province of lion.
30963,Además no hay ninguna señal de nada faltante.,"Besides, there's no sign of anything missing."
30964,Tengo un poco de ropa en mi fardo.,I've got some clothes in my bundle.
30965,Sé lo que siempre estuve destinado a hacer pero fracasé.,"I know what I was always meant to do, but I failed."
30966,Nos aburrimos fumamos hierba y queríamos conocer a atticus fetch.,We got bored smoking weed and wanted to meet atticus fetch.
30967,A mí no me impediría.,It wouldn't stop me.
30968,Cree que se puede decir la verdad impunemente.,He thinks you can tell the truth with impunity.
30969,Puede suceder luciana puesto que yo siento lo mismo.,Luciana can happen since I feel the same way.
30970,Las más utilizadas son las banderas de señales marítimas.,The most commonly used are the flags of maritime signals.
30971,Miembro de la liga de acción monárquica de vizcaya.,Member of the Vizcaya royal action league.
30972,La ninfa del cielo.,The nymph of heaven.
30973,La obligaban a usar un micrófono en el trabajo.,She was forced to use a microphone at work.
30974,Por qué no salís los dos de mi oficina.,Why don't you both get out of my office.
30975,El tiempo es cálido ahora así que es soportable.,The weather is warm now so it's bearable.
30976,Bueno si no fue un problema seguiré trepando.,"Well, if it wasn't a problem, I'll keep climbing."
30977,El brazo contrario desciende hasta ubicarse en la cintura.,The opposite arm descends to the waist.
30978,Mil dólares a que no lo alcanzas.,A thousand bucks you don't make it.
30979,Ha dicho que en el agua hay muchos animalitos.,He said there's a lot of little animals in the water.
30980,Pensé que dijiste que no ayudarían.,I thought you said they wouldn't help.
30981,Qué me dices de los castores.,What about the beavers?
30982,Tenemos un contrato de compraventa aquí mismo.,We have a sales contract right here.
30983,Comprobaciones de integridad de datos sobre monedas en euros.,Data integrity checks on euro coins.
30984,Lo que haremos todos emborracharnos.,Which we'll all get drunk.
30985,No sé si está encriptado o si es algún tipo de programa.,I don't know if it's encrypted or if it's some kind of program.
30986,Así que he engendrado a un asesino.,So I've fathered a murderer.
30987,Él está en el granero y que engorda.,He's in the barn and he's fat.
30988,Estoy en la esclusa de aire interior.,I'm in the inner airlock.
30989,Su presencia le daba a la mañana su calidad de expresividad.,His presence gave him in the morning his quality of expressiveness.
30990,Las sentencias serán firmadas por el presidente y el secretario.,The sentences shall be signed by the President and the Secretary.
30991,Vi un corte pero no lo suficiente como para identificarla.,I saw a cut but not enough to identify it.
30992,Por si inspiraba al asesino.,In case he inspired the killer.
30993,El sistema se considera de seguridad intrínseca.,The system is considered intrinsical security.
30994,Trataremos con la cuestión de sus lealtades más tarde.,We'll deal with the question of your loyalties later.
30995,Llenamos la pipa de nuevo.,We filled the pipe again.
30996,Nuestras mejores máquinas nunca lograban completar su misión.,Our best machines never managed to complete their mission.
30997,Creo que sí pueden lograrse los objetivos de desarrollo del milenio.,I believe that the millennium development goals can be achieved.
30998,Cuenta con los siguientes servicios para la membresía.,It has the following membership services.
30999,No quiero molestarlos con eso.,I don't want to bother you with that.
31000,Se propone una definición de dinero electrónico técnicamente neutra y más simple.,A technically neutral and simpler definition of electronic money is proposed.
31001,Qué es el código de la pajita.,What's the straw code?
31002,La ciudad está plagada de alemanes.,The city is full of Germans.
31003,La plusvalía del enfoque europeo puede ponerse en duda.,The added value of the European approach can be questioned.
31004,De ahí la necesidad de proporcionarle instrucciones precisas con respecto a estas cuestiones.,Hence the need to provide you with precise instructions on these issues.
31005,Dijo que yo no era lo suficientemente servil.,He said I wasn't servile enough.
31006,D sl indica que ya se ha efectuado la segunda lectura.,D sl indicates that the second reading has already been carried out.
31007,Las declaraciones solemnes sin seguimiento tienen un efecto contraproducente.,Solemn declarations without follow-up have a counterproductive effect.
31008,Allí son más solidarios este tipo de cosas.,This kind of thing is more supportive there.
31009,Qué decía tse tung sobre el arte de la guerra.,What tse tung said about the art of war.
31010,Ve a ver porque se agitó papá.,Go see why Dad shook up.
31011,Así es como recuerdo el apartheid de sudáfrica.,This is how I remember apartheid in South Africa.
31012,Sólo hay una granja en esta cañada.,There's only one farm on this glen.
31013,Cnt lo tiene en el teléfono.,Cnt's got it on the phone.
31014,Se suponía que tenía que estar componiendo sinfonías clásicas.,He was supposed to be composing classical symphonies.
31015,Es hora de contraatacar y acabar con esto.,It's time to counterattack and end this.
31016,Quieres venir y conversa con él.,You want to come and talk to him.
31017,Las condiciones de desaceleración deberán satisfacer los requisitos del apartado.,The deceleration conditions shall meet the requirements of the paragraph.
31018,Un arco sería más fácil de deslizar que una caja cuadrada.,An arc would be easier to slide than a square box.
31019,Con ello abrimos el camino a una sociedad por lo menos dual.,With this we open the way to a society at least dual.
31020,Estás listo para enlazar esa bala.,You're ready to link that bullet.
31021,Nadie se irá hasta dar una muestra de materia fecal.,No one will leave until they give a sample of fecal matter.
31022,Vamos a empezar con el atún graso.,Let's start with the fatty tuna.
31023,La ketamina nunca me hizo esto antes.,Ketamine never did this to me before.
31024,En esta macabra escena del crimen.,At this macabre crime scene.
31025,No sé si se los mandaban de casa.,I don't know if they were sent home.
31026,Mientras tanto la gente del congresista cree que smith es algun tipo de maniaco homicida.,Meanwhile the congressman's people think that Smith is some kind of homicidal maniac.
31027,Qué es eso algo del ritual del mantis.,What's that about the mantis ritual?
31028,Algo me dice que ese tipo no es un monaguillo exactamente.,Something tells me that guy's not exactly an altar boy.
31029,Por qué tocas mi nalga.,Why you're touching my ass.
31030,Bueno por qué no vas pasando y vas poniéndote al día.,"Well, why don't you go ahead and catch up."
31031,No existen modelos empresariales probados para los servicios de conte nidos en línea.,There are no proven business models for online container services.
31032,Por lo menos que deje de propagar temor.,At least stop spreading fear.
31033,Tres racimos de bananas por favor.,Three bunches of bananas please.
31034,Es un adelanto de regalías.,It's a royalty advance.
31035,G aprobar la plantilla de personal y sus retribuciones.,G approve the staffing table and its remuneration.
31036,Es una bala de uno de esos revólveres de cañón corto son horribles.,It's a bullet from one of those short cannon revolvers. They're horrible.
31037,No creo que el consejo éste tiene que actuar unánimemente.,I don't think the council has to act unanimously.
31038,Así que no necesitas alimentarlo.,So you don't need to feed him.
31039,Los siete miembros de la comisión electoral nacional asumieron sus cargos el de abril.,The seven members of the national electoral commission took office on April.
31040,No queremos ir a la cárcel por tu bocota.,We don't want to go to jail for your mouth.
31041,El siguiente paso será comercializar el aire que respiramos.,The next step will be to market the air we breathe.
31042,Por qué te cubres ese ojo misaki.,Why do you cover that misaki eye?
31043,No es momento para ser despreocupada.,This is no time to be carefree.
31044,Se ha roto el tobillo y necesitará una escayola.,He's broken his ankle and he'll need a cast.
31045,La verdad es que me encantará verte caer estrellita.,"The truth is, I'd love to see you starring."
31046,Ya sé que tienes un pierna estropeada no me importa.,I know you have a broken leg. I don't care.
31047,Voy a follarte tan fuerte que nunca lo olvidarás.,I'm gonna fuck you so hard you'll never forget it.
31048,Sé que dijo antes que no se intercambiaron los nombres.,I know you said before that the names weren't exchanged.
31049,Alguien le inyectó una dosis mortal.,Someone injected him with a fatal dose.
31050,No puedo servirle su coñac con las manos levantadas.,I can't serve your brandy with my hands up.
31051,Tan pronto como me liberé me puse furiosa.,As soon as I got free I got angry.
31052,Voy a salir por una leche malteada.,I'm going out for a milkshake.
31053,La ejecución motriz de las acciones.,The motor execution of the actions.
31054,Sesión solemne con el presidente de colombia andrés pastrana.,Formal meeting with the President of Colombia andrés Pastrana.
31055,Todo el mundo puede percatarse fácilmente de ello.,Everyone can easily see that.
31056,En el caso de las rampas.,In the case of ramps.
31057,En vez de eso lo que los rastreadores se encontraron es eso.,Instead what the trackers found is that.
31058,Es esta carrera de relevos en el desierto.,It's this relay race in the desert.
31059,La muerte es una sagaz compañera.,Death is a shrewd companion.
31060,El procedimiento dispara los niveles de serotonina de los pacientes.,The procedure triggers serotonin levels in patients.
31061,Según la edad del comienzo de la sordera.,Depending on the age of the beginning of deafness.
31062,Tienes un poco de fruta que sale del telar.,You got some fruit coming out of the loom.
31063,A la izquierda está renunciando a los bienes terrenales.,To the left he is renouncing earthly goods.
31064,No lo tienta un poco de amor.,Don't tempt him a little love.
31065,Sólo tratábamos de dejar nuestra marca en el mundo.,We were just trying to leave our mark in the world.
31066,No alguien a quien usabas como a los demás.,Not someone you used like everyone else.
31067,Después uno de ellos me ofreció mucho más dinero por conducir motos acuáticas.,Then one of them offered me a lot more money for riding jet skis.
31068,Parece que no le interesa esta adulación.,You don't seem to be interested in this flattery.
31069,La dra mottershead intenta apropiarse de este escritorio.,Dra mottershead is trying to take over this desk.
31070,Por el aserrín y lo que hay en él.,By sawdust and what's in it.
31071,Mientras que ella nació en una barriada.,While she was born in a slum.
31072,Tú yo donuts y cafeterías.,You donuts and coffee shops.
31073,No lo puedo creer te calza justo.,I can't believe it fits you right.
31074,Vamos a tomar al menos un chupito.,Let's at least have a shot.
31075,Cobramos euros por persona la noche.,We charge euros per person the night.
31076,Le diste un codazo en la cara.,You nudged him in the face.
31077,Qué quieres decir con que no puedes decirmelo.,"What do you mean, you can't tell me."
31078,Reitero mi fe en la deliberación creadora.,I reiterate my faith in creative deliberation.
31079,Una cosa es tener un hijo con problemas de drogadicción.,It's one thing to have a child with drug addiction problems.
31080,Los pilares de olmo del puente de londres duraron años.,The elm pillars of the London Bridge lasted for years.
31081,En la enumeración que figura a continuación se hace referencia al apartado del presente anexo.,The following list refers to the paragraph of this Annex.
31082,No puedo tener uno de tus esclavos galos.,I can't have one of your Gauls slaves.
31083,Sin embargo grabarlo no es ni mucho menos fácil.,"Recording it, however, is far from easy."
31084,Por qué no la hospeda ella entonces.,Why don't she host her then.
31085,Al igual que un hurón tiene un conejo.,Like a ferret has a rabbit.
31086,El municipio de nueva trinidad nace en épocas independentistas.,The municipality of new trinity was born in independence times.
31087,Bueno yo me voy a echar una meada.,"Well, I'm gonna take a piss."
31088,Tengo que nominar tengo que hacer enemigos.,I have to nominate. I have to make enemies.
31089,Ahora por favor párese contra la pared.,Now please stand against the wall.
31090,Mi padre y yo nos quedábamos por la noche.,My father and I were staying at night.
31091,No sé si quiero estar remando en navidad en doris.,I don't know if I want to be rowing for Christmas at Doris.
31092,Vela solicitaba una financiación comunitaria del es decir ecus.,Vela requested Community funding of ECU.
31093,Seguro que solicitará mañana.,I'm sure he'll apply tomorrow.
31094,Por lo que esta palabra adorna el felpudo.,So this word adorns the doormat.
31095,Así es como un hombre que quiere arrodillarse debe comportarse.,That's how a man who wants to kneel must behave.
31096,La compañía alquiló un autocar que los llevará a las vegas.,The company rented a bus that will take them to the vegas.
31097,El forense notó que tenía colágeno en los labios.,The coroner noticed that he had collagen on his lips.
31098,Los pictogramas están más detallados aquí arriba.,The pictograms are more detailed up here.
31099,Se te ve muy cómodo en el rol dictatorial.,You look very comfortable in the dictatorial role.
31100,Creo que disfrutará de esto.,I think you'll enjoy this.
31101,Creo que el movimiento se disolvió.,I think the movement broke up.
31102,A mí no me suena disparatado.,Doesn't sound crazy to me.
31103,Medidas de seguridad obligatorias para abrir estaciones de servicio y gasolineras y comunicación de reformas.,Mandatory security measures to open service stations and petrol stations and communication of reforms.
31104,A mi no me parece que tengas glaucoma.,I don't think you have glaucoma.
31105,Por qué te gotea la piel.,Why your skin leaks.
31106,Yo te guiaré a la carretera principal.,I'll lead you to the main road.
31107,No estoy habituado a ser el centro de atención.,I'm not used to being the center of attention.
31108,No quiero hablar inteligentemente al diablo.,I don't want to talk smartly to the devil.
31109,En el caso de los jardineros disfrutarán de días naturales al año por motivos personales.,"In the case of gardeners, they will enjoy calendar days per year for personal reasons."
31110,De acuerdo escaneé los manifiestos del puerto de san pedro.,"All right, I scanned the manifests from the port of St. Peter."
31111,El profesor de gimnasia dice por qué los ojos morados.,The gym teacher says why purple eyes.
31112,Conozco a todos los oppenheimer del mundo.,I know every oppenheimer in the world.
31113,Imagínate qué te llamen capitán pajas el resto de tu vida.,Imagine being called captain straws for the rest of your life.
31114,En campeonatos nacionales deportivo táchira peninsulares de araya.,In national sports championships peninsular tachira of araya.
31115,Beneficiario fundación politécnica de cataluña.,Beneficiary polytechnic foundation of cataluña.
31116,A ponencias sobre buenas prácticas en materia de cooperación internacional.,To presentations on good practices in international cooperation.
31117,Entonces tenemos que actuar con premura.,Then we have to act quickly.
31118,Hey estoy en la tv pruébame.,"Hey, I'm on TV. Try me."
31119,No te robaré los clientes.,I won't steal your customers.
31120,La sensibilización en los medios de comunicación sería también esencial.,Awareness-raising in the media would also be essential.
31121,Ni siquiera puede visitarlos la cruz roja.,You can't even visit them by the red cross.
31122,Así que me tengo que acostumbrar a ello.,So I have to get used to it.
31123,No quería agarrarte de esa manera.,I didn't want to grab you like that.
31124,El albatros nos dio vueltas por un rato.,The albatross turned us around for a while.
31125,Por lo que parece salieron apurados.,Looks like they got out in a hurry.
31126,No es arritmia por favor.,"It's not arrhythmia, please."
31127,Las tropas alemanas avanzaban en todas las direcciones.,German troops were advancing in all directions.
31128,No puedo evitarlo mis capilares están cerca de la piel.,I can't help it. My capillaries are close to the skin.
31129,Quiero que me dibuje un abuelo de la familia cebolleta.,I want a grandfather from the chive family to draw me.
31130,Bien bueno lo comprobaremos con la seguridad del hotel.,Good. We'll check with hotel security.
31131,La actual recuperación coyuntural facilita la realización de esta tarea.,The current economic recovery facilitates the realization of this task.
31132,Vamos a llevarlos a la sala de derrames.,Let's get them to the spill room.
31133,Lo dirigiré yo todo a partir de ahora.,I'll direct everything from now on.
31134,Creo que algunos disfrutaron pero otros estaban allí por obligación.,I think some enjoyed it but others were there by obligation.
31135,A quién le gusta un poco de enjuague bucal.,Who likes a little mouthwash.
31136,Bueno podría enumerar sus características más relevantes si eso le ayuda a recordar.,Well you could list your most relevant features if that helps you remember.
31137,Uno de los hombres que explotaron con el bote ha aparecido en noruega.,One of the men who exploded with the boat has appeared in Norwegian.
31138,Te caerás frenando de nuevo.,You'll fall by braking again.
31139,Las ondas generadas varían en el tiempo.,Waves generated vary over time.
31140,Una hora antes de que su correo fuera hackeado.,An hour before your mail was hacked.
31141,Por qué incriminar a un hombre que lleva muerto años.,Why incriminate a man who's been dead for years.
31142,La jauría se ha puesto en marcha.,The pack has been set in motion.
31143,No te preocupes lanzaré una zapatilla a la puerta.,"Don't worry, I'll throw a slipper at the door."
31144,Crees que es raro que te llamase.,You think it's weird that I called you.
31145,Página oficial de andrés manuel lópez obrador.,Official page of andrés manuel lópez actador.
31146,Para que no pierdas pepitas en el camino.,So you don't lose nuggets on the way.
31147,Les hablé del mundo y de los predadores.,I told them about the world and predators.
31148,No metes los pies de la gente en los procesadores de alimentos.,Don't put people's feet in food processors.
31149,La princesa heredera ha renacido años después en este lugar.,The princess heiress has been reborn years later in this place.
31150,Esta tarde respiramos juntos.,We're breathing together this afternoon.
31151,En la noche a la toma un somnífero.,In the night after taking a sleeping pill.
31152,Una vez sorprendía a una chica que era china samoana y célebe.,I once surprised a girl who was Chinese Samoan and Celebe.
31153,Su abuelo le dejó el de la empresa tabacalera.,His grandfather left him with the tobacco company.
31154,En ese momento quedarán terminadas sus investigaciones.,"At that time, his investigations will be completed."
31155,Sobre la propuesta del edificio no tiene carácter vinculante.,The proposal of the building is not binding.
31156,Por si no lo adivinaste estás despedida.,"In case you haven't guessed, you're fired."
31157,En mi opinión la respuesta es afirmativa.,"In my opinion, the answer is yes."
31158,Las esposas están muy ajustadas.,The handcuffs are too tight.
31159,Para qué están los carpinteros.,What are carpenters for?
31160,A tal fin su tarea principal consistirá en aprobar.,"To this end, its main task will be to approve."
31161,Desde entonces sabemos que estas sustancias están altamente contaminadas.,Since then we have known that these substances are highly contaminated.
31162,Me dirijo en particular a los democristianos de este parlamento.,I am addressing in particular the Christian Democrats in this Parliament.
31163,No es posible después de eso tal deshonor.,It is not possible after that such dishonor.
31164,Siempre os encontráis los unos a los otros.,You always meet each other.
31165,No tiene que ir hasta la farola grande.,You don't have to go to the big lamppost.
31166,Entre el amor y el odio flavio sacristán.,"Between love and hatred, the sacristan flavian."
31167,No puedes trabajar de esta guisa.,You can't work on this stew.
31168,No va a haber ningún inculpado.,There won't be any defendants.
31169,Durante un tiempo fuimos intocables en nuestra felicidad.,For a time we were untouchable in our happiness.
31170,Por eso he estado intentando localizarte.,That's why I've been trying to reach you.
31171,Barcelona de mayo de luís franco sala consejero de trabajo.,Barcelona de Mayo de Luís franco Sala Consejero de trabajo.
31172,La pérdida de sangre es matemáticamente fría.,Blood loss is mathematically cold.
31173,Muestrame lo que tienes y te mostraré lo que tengo.,Show me what you got and I'll show you what I got.
31174,En ese caso métase en sus asuntos y váyase a casa.,Then mind your own business and go home.
31175,Así que son todos voluntarios noruegos.,So they're all Norwegian volunteers.
31176,Cada noche probaba sin decir nada.,Every night I tried without saying anything.
31177,Así que es verdad si rezas desde el fondo de tu corazón.,So it's true if you pray from the bottom of your heart.
31178,Eres eso de lo que no me puedo saciar.,You're that I can't be satisfied with.
31179,Creo que eres su alma gemela sai.,I think you're his soul mate sai.
31180,Sangraba por todo el lugar.,He bled all over the place.
31181,Por primera vez en mi vida sonreí.,For the first time in my life I smiled.
31182,Mi madre me sujetaba en sus brazos.,My mother held me in her arms.
31183,Así que le tendiste una trampa.,So you set him up.
31184,Demasiado vastos para ser de la cabeza.,Too vast to be of the head.
31185,Los guardias nos acompañarán hasta el piso.,The guards will escort us to the floor.
31186,Es lo que más odiamos los programadores cuando nuestras agendas de desorganizan.,That's what we programmers hate the most when our agendas disorganize.
31187,Al final del manga en los agradecimientos sale la compañía de videojuegos japonesa konami.,At the end of the sleeve in thanks comes the Japanese video game company konami.
31188,El aliciente es que se lo estoy pidiendo.,The incentive is that I'm asking you.
31189,No hay nada antinatural en nada.,There's nothing unnatural about anything.
31190,Estamos aquí hoy con nuestro equipo de antropólogos.,We're here today with our team of anthropologists.
31191,Los ingleses pueden arribar de un momento a otro.,The English can arrive from one moment to the next.
31192,Fue asfixiante desde el comienzo.,It was asphyxiating from the beginning.
31193,Vas a tener que atenderlo en algún momento.,You're gonna have to take care of him sometime.
31194,Al otro lado de la calle en esa banqueta.,Across the street on that sidewalk.
31195,Página oficial de jesús calleja.,Official jesus street page.
31196,Por la letra y por su forma de cantarla.,By the lyrics and by the way he sings it.
31197,A la salud del padre canónigo.,To the health of the canon father.
31198,Todo indica que es un hombre caucásico de de altura.,Everything indicates he's a Caucasian man of height.
31199,Vivamos este momento sin ponernos colorados.,Let's live this moment without getting red.
31200,Recuerdas cuando compartíamos cuarto en el último año.,You remember when we shared fourth in the last year.
31201,Según las circunstancias que concurren en el artículo.,Depending on the circumstances of the article.
31202,La escala es fácil de cuantificar.,The scale is easy to quantify.
31203,Página web oficial de la arquidiócesis de durango.,Official website of the Archdiocese of Durango.
31204,Vídeo de la basílica de santa maría de elche.,Video of the Basilica of Santa Maria de elche.
31205,A la pesca de esponjas br.,To the fishing of sponges br.
31206,Incluso los fundamentalistas son susceptibles al menos a una de esas cosas.,Even fundamentalists are susceptible to at least one of those things.
31207,Va a ser difícil ganarles leche en polvo.,It's gonna be hard to earn them powdered milk.
31208,Gobernó chipre desde hasta se hizo cargo del trono tras la muerte de su padre.,He ruled chipre from until he took over the throne after his father's death.
31209,Parece que la inseminación ha sido un éxito.,It seems that insemination has been a success.
31210,En el municipio de cuilápam de guerrero se localizan localidades y su población en se enlista a continuación.,In the municipality of cuilápam of warrior are located localities and its population is listed below.
31211,Sabía que mi familia es marinera.,I knew my family was a mariner.
31212,El papel de los otros departamentos ministeriales.,The role of the other ministerial departments.
31213,Mándale un mensaje a mi corazón.,Send a message to my heart.
31214,Fue una buena decisión ofrecerse para la práctica.,It was a good decision to volunteer for practice.
31215,El fin del largo periplo.,The end of the long journey.
31216,Mejor que eso no sea un ramillete.,That better not be a bouquet.
31217,He estado bajo los reflectores.,I've been under the spotlight.
31218,Fueron a la ciudad a ver la regata.,They went to the city to see the race.
31219,Fue la experiencia más terrorífica de mi vida.,It was the most terrifying experience of my life.
31220,Vas a ganar la próxima vez tigresa.,You're gonna win next time tiger.
31221,Por qué no lo tomarían ustedes.,Why wouldn't you take it?
31222,Ayuntamiento devalencia concejalía de devesa y albufera y alcaldías de barrio.,City council of devesa and albufera and neighborhood mayors.
31223,Mi vida está a punto de apagarse.,My life is about to go out.
31224,Quién es la mujer que arribó en tercer lugar.,Who is the woman who arrived in third place.
31225,Las plumas y los bolígrafos no funcionan en el espacio.,Pens and pens don't work in space.
31226,Tienes algo con lo que borrarlo.,You have something to erase it with.
31227,No no es el momento hablar del casete.,It's not time to talk about the cassette.
31228,El programa se divide en cuatro ejes centrados en los objetivos siguientes.,The programme is divided into four axes focusing on the following objectives.
31229,No es una concesionaria de autos usados.,She's not a used car dealership.
31230,Seguro que concluirá mañana.,I'm sure it'll end tomorrow.
